,b_1,b_2,b_3,l_1,l_10,l_11,l_12,l_13,l_14,l_15,l_16,l_17,l_18,l_19,l_2,l_20,l_21,l_3,l_4,l_5,l_6,l_7,l_8,l_9
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015622615814208984
38,0.0,0.0,0.0,0.01562643051147461,0.0,0.015624046325683594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.015624284744262695,0.0,0.0,0.0,0.0,0.0,0.0,0.0156402587890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01562976837158203,0.0,0.0,0.0,0.0,0.0,0.0,0.015610933303833008,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015630722045898438,0.0,0.0,0.0,0.0,0.0,0.0,0.01561880111694336,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01566147804260254,0.0,0.0,0.0,0.0,0.015619993209838867,0.0,0.0,0.0,0.0,0.0
43,0.0,0.015624046325683594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01563239097595215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015582799911499023
45,0.0,0.0,0.0,0.0,0.0,0.015627145767211914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.015614509582519531,0.0,0.0,0.0,0.0,0.0,0.0,0.015627622604370117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.001999378204345703,0.0,0.0,0.0,0.0,0.005968570709228516,0.0,0.0,0.0030028820037841797,0.0,0.0009946823120117188,0.0,0.015841245651245117,0.0030324459075927734,0.0,0.0010030269622802734,0.001997709274291992,0.001001119613647461,0.002000093460083008
48,0.0,0.0,0.0,0.002003908157348633,0.0,0.0009996891021728516,0.0,0.0009975433349609375,0.0,0.0,0.007077455520629883,0.0009710788726806641,0.0,0.003002643585205078,0.0010001659393310547,0.0,0.0,0.0019960403442382812,0.0010020732879638672,0.0009996891021728516,0.0009999275207519531,0.0010008811950683594,0.0009980201721191406,0.0010027885437011719
49,0.0,0.0,0.0,0.0030019283294677734,0.0,0.0019989013671875,0.0,0.0,0.0,0.0,0.006966829299926758,0.0,0.0,0.004002809524536133,0.0,0.0,0.0,0.0019621849060058594,0.0030333995819091797,0.0009984970092773438,0.0010251998901367188,0.0019762516021728516,0.0,0.0019989013671875
